Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),Wildfire_Probability,AcresBurned,County,Latitude,Longitude,Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),
Kern,7/19/2013,34.882,-118.9194,2013-07-19T12:00:00Z,,712,Kern,35.205583,-118.77841,125,0,0.04,0.2,0.64,97.6,64.5,82.8,63,21,33,
El Dorado,7/19/2013,38.63987,-121.08438,2013-07-19T14:12:00Z,,163,El Dorado,38.636111,-120.79305,228,0,0.66,0.86,1.49,95.6,74.2,87.1,44,15,22,
Sacramento,7/19/2013,38.63987,-121.08438,2013-07-19T14:12:00Z,,163,Sacramento,38.649964,-121.21887,131,0,0,0,0,100.3,57.9,79.7,76,21,42,
Tehama,7/19/2013,39.961309,-122.330879,2013-07-19T13:32:00Z,,195,Tehama,40.044053,-122.16551,8,0,0.49,0.6,1.16,95.5,59.2,78.5,82,32,54,
Tulare,7/22/2013,36.208,-118.444,2013-07-22T22:15:00Z,,2060,Tulare,36.3605,-119.05935,86,0.04,0.06,0.08,0.53,93.4,74.7,82.1,93,39,66,
Mendocino,7/22/2013,38.980846,-123.067671,2013-07-22T12:34:00Z,,45,Mendocino,38.982581,-123.08928,106,0,0,0,0,90.9,49.7,69.4,85,23,51,
Kern,7/23/2013,34.90327,-118.93388,2013-07-23T09:15:00Z,,612,Kern,35.205583,-118.77841,125,0,0,0.16,0.64,98,70.6,85.1,67,24,40,
Calaveras,7/23/2013,37.965364,-120.696362,2013-07-23T13:29:00Z,,31,Stanislaus,37.727194,-120.85086,194,0,0.07,0.07,0.07,86.9,64.9,74.2,67,29,45,Keep?
San Bernardino,7/25/2013,34.316,-117.352,2013-07-25T15:09:00Z,,75,San Bernardino,34.255942,-117.21814,192,0,0,0,0,86.4,52.4,69.1,65,31,48,
Sonoma,7/26/2013,38.17693,-122.51253,2013-07-26T13:45:00Z,,158,Sonoma,38.266428,-122.61646,144,0,0,0,0,74.4,51.8,58.7,100,59,85,
San Diego,7/28/2013,32.612773,-116.707335,2013-07-28T09:43:00Z,,25,San Diego,32.628208,-116.93928,147,0,0,0,0,74.4,57.7,65,94,64,80,
Siskiyou,7/31/2013,41.32,-123.176,2013-07-31T22:00:00Z,,14754,Siskiyou,41.958869,-121.47237,91,0,0.04,1.35,2.61,82.5,49.6,66,90,17,49,
Butte,8/1/2013,39.6612,-121.50354,2013-08-01T16:01:00Z,,92,Butte,39.608639,-121.82443,12,0,0,0.6,0.87,84.4,53.2,67,100,64,100,
Humboldt,8/3/2013,41.333,-123.376,2013-08-03T08:00:00Z,,0,Shasta,40.63,-122.31,224,0,0,2.25,3.28,95.8,52.4,74.6,81,13,36,Keep?
