Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,,,,,,
Modoc,9/8/2013,41.73325,-120.375,2013-09-08T11:53:00Z,25,,97,,,,2013-09-24T20:15:00Z,,,,2013-09-08,2013,9,8
San Luis Obispo,9/5/2013,35.4393,-120.8358,2013-09-05T15:57:00Z,40,,94,,,,2013-09-24T20:15:00Z,,,,2013-09-05,2013,9,5
Los Angeles,9/23/2013,34.149,-117.908,2013-09-23T18:00:00Z,19,,268,,,,2013-09-28T08:00:00Z,,,,2013-09-23,2013,9,23
San Diego,9/26/2013,0,0,2013-09-26T17:29:00Z,37,,40,,,,2013-09-28T09:15:00Z,,,,2013-09-26,2013,9,26
Mendocino,9/28/2013,38.9252,-122.966,2013-09-28T13:57:00Z,23,,98,,,,2013-09-29T18:15:00Z,,,,2013-09-28,2013,9,28
San Bernardino,9/24/2013,34.2,-117.417,2013-09-24T15:51:00Z,36,,200,,,,2013-09-30T08:30:00Z,,,,2013-09-24,2013,9,24
Napa,10/4/2013,38.628,-122.289,2013-10-04T07:35:00Z,28,,376,,,,2013-10-04T10:30:00Z,,,,2013-10-04,2013,10,4
Alameda,10/3/2013,0,0,2013-10-03T20:33:00Z,1,,150,,,,2013-10-04T16:55:00Z,,,,2013-10-03,2013,10,3
Butte,10/4/2013,39.439,-121.497,2013-10-04T12:25:00Z,4,,305,,,,2013-10-05T07:45:00Z,,,,2013-10-04,2013,10,4
Sonoma,10/4/2013,38.34599,-122.6503,2013-10-04T17:37:00Z,49,,159,,,,2013-10-05T22:00:00Z,,,,2013-10-04,2013,10,4
San Diego,10/6/2013,33.341,-117.3092,2013-10-06T10:52:00Z,37,,2236,,,,2013-10-09T08:00:00Z,,,,2013-10-06,2013,10,6
Orange,10/5/2013,33.7655,-117.6649,2013-10-05T12:45:00Z,30,,40,,,,2013-10-09T19:00:00Z,,,,2013-10-05,2013,10,5
Yolo,11/4/2013,38.67479,-122.08725,2013-11-04T11:41:00Z,57,,163,,,,2013-11-04T15:35:00Z,,,,2013-11-04,2013,11,4
Shasta,11/7/2013,40.483662,-122.140914,2013-11-07T16:10:00Z,45,,33,,,,2013-11-07T19:45:00Z,,,,2013-11-07,2013,11,7
San Luis Obispo,11/8/2013,35.457978,-120.751555,2013-11-08T10:30:00Z,40,,51,,,,2013-11-09T17:00:00Z,,,,2013-11-08,2013,11,8
Lake,11/8/2013,38.882214,-122.567525,2013-11-08T13:42:00Z,17,,120,,,,2013-11-10T18:30:00Z,,,,2013-11-08,2013,11,8
Ventura,11/14/2013,34.384,-119.13249,2013-11-14T11:05:00Z,56,,64,,,,2013-11-15T16:00:00Z,,,,2013-11-14,2013,11,14
Mendocino,11/22/2013,39.0442,-123.1478,2013-11-22T10:06:00Z,23,,82,,,,2013-11-22T17:30:00Z,,,,2013-11-22,2013,11,22
Napa,11/21/2013,38.382,-122.311,2013-11-21T21:39:00Z,28,,190,,,,2013-11-23T18:30:00Z,,,,2013-11-21,2013,11,21
Lake,11/23/2013,39.0448,-122.7656,2013-11-23T12:04:00Z,17,,50,,,,2013-11-24T08:45:00Z,,,,2013-11-23,2013,11,23
Lake,11/23/2013,38.9289,-122.5818,2013-11-23T14:17:00Z,17,,23,,,,2013-11-24T18:45:00Z,,,,2013-11-23,2013,11,23
Sonoma,11/22/2013,38.8167,-122.8498,2013-11-22T02:04:00Z,49,,3505,,,,2013-11-27T18:15:00Z,,,,2013-11-22,2013,11,22
Ventura,12/10/2013,0,0,2013-12-10T02:26:00Z,56,,44,,,,2013-12-11T17:30:00Z,,,,2013-12-10,2013,12,10
Monterey,12/16/2013,0,0,2013-12-16T00:20:00Z,27,,917,,,,2013-12-20T20:00:00Z,,,,2013-12-16,2013,12,16
Mendocino,12/30/2013,0,0,2013-12-30T11:00:00Z,23,,15,,,,2013-12-30T20:30:00Z,,,,2013-12-30,2013,12,30
Santa Clara,12/31/2013,37.342186,-121.717706,2013-12-31T05:30:00Z,43,,40,,,,2013-12-31T16:00:00Z,,,,2013-12-31,2013,12,31
Butte,1/1/2014,0,0,2014-01-01T10:46:00Z,4,,60,,,,2014-01-02T07:30:00Z,,,,2014-01-01,2014,1,1
Humboldt,1/3/2014,0,0,2014-01-03T10:30:00Z,12,,18,,,,2014-01-04T18:30:00Z,,,,2014-01-03,2014,1,3
Humboldt,1/4/2014,40.884415,-123.773779,2014-01-04T12:00:00Z,12,,333,,,,2014-01-08T19:15:00Z,,,,2014-01-04,2014,1,4
