Extinguished (Date),Counties (Location),CountyIds (might not need this one),Latitude,Longitude,Wildfire_Probability,AcresBurned,Avg_Temperature,Avg_Humidity,Rainfall_30,Rainfall_60,Rainfall_90
2014-10-11T18:50:00Z,Siskiyou,47,41.42384,-122.37432,,516,,,,,
2014-06-05T20:00:00Z,Tuolumne,55,37.76617,-120.45087,,487,,,,,
2014-10-15T07:50:00Z,Placer,31,0,0,,459,,,,,
2014-09-17T16:10:00Z,Mendocino,23,0,0,,403,,,,,
2014-03-21T18:00:00Z,Monterey,27,36.6313,-121.4819,,400,,,,,
2014-08-01T17:30:00Z,Butte,4,0,0,,389,,,,,
2014-05-15T18:30:00Z,San Diego,37,33.312,-117.162,,380,,,,,
2014-03-16T08:30:00Z,Riverside,33,0,0,,350,,,,,
2014-01-08T19:15:00Z,Humboldt,12,40.884415,-123.773779,,333,,,,,
2014-09-22T07:15:00Z,Madera,20,37.311915,-119.604124,,320,,,,,
2014-10-12T18:00:00Z,Mariposa,22,37,40.34,,311,,,,,
2014-09-12T09:00:00Z,Mariposa,22,0,0,,300,,,,,
2014-07-25T09:15:00Z,Merced,24,0,0,,300,,,,,
2014-12-12T13:30:00Z,Los Angeles,19,34.267,-117.867,,274,,,,,
2014-06-06T09:30:00Z,Tuolumne,55,37.787,-120.452,,269,,,,,
2014-09-18T18:45:00Z,Nevada,29,39.113682,-120.999508,,247,,,,,
2014-06-13T13:50:00Z,Tehama,52,40.009827,-122.345078,,225,,,,,
2014-07-06T09:15:00Z,San Diego,37,33.078948,-116.576454,,217,,,,,
2014-09-15T11:00:00Z,Humboldt,12,41.134,-123.753,,210,,,,,
2014-12-12T14:00:00Z,Los Angeles,19,34.235,-117.771,,190,,,,,
2014-05-26T08:45:00Z,Lake,17,39.1647,-122.5983,,175,,,,,
2014-07-10T07:30:00Z,Shasta,45,40.6569,-122.2215,,143,,,,,
2014-06-13T18:30:00Z,Mariposa,22,37.7103,-120.197,,130,,,,,
2014-07-01T08:30:00Z,Santa Clara,43,0,0,,125,,,,,
2014-03-11T11:00:00Z,San Diego,37,32.81,-116.49,,125,,,,,
2014-06-21T19:00:00Z,Calaveras,5,120.679019,38.178241,,120,,,,,
2014-01-22T16:35:00Z,Placer,31,0,0,,120,,,,,
2014-04-21T19:15:00Z,Inyo,14,37.399,-118.352,,113,,,,,
2014-01-26T18:00:00Z,Fresno,10,36.8266,-119.3415,,106,,,,,
2014-05-19T09:20:00Z,San Diego,37,0,0,,105,,,,,
