Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,,,,,
Calaveras,6/20/2014,120.679019,38.178241,2014-06-20T15:27:00Z,5,,120,,,,,,,,
Calaveras,6/22/2014,38.058,-120.66,2014-06-22T12:37:00Z,5,,85,,,,,,,,
Santa Clara,6/30/2014,0,0,2014-06-30T14:10:00Z,43,,125,,,,,,,,
Modoc,7/1/2014,41.89,-120.79,2014-07-01T19:00:00Z,25,,1651,,,,,,,,
Trinity,7/1/2014,40.41,-123.24,2014-07-01T03:45:00Z,53,,15,,,,,,,,
San Diego,7/1/2014,33.078948,-116.576454,2014-07-01T18:15:00Z,37,,217,,,,,,,,
Kern,7/3/2014,0,0,2014-07-03T10:43:00Z,15,,70,,,,,,,,
Modoc,7/3/2014,41.489,-120.904,2014-07-03T15:46:00Z,25,,1469,,,,,,,,
Shasta,7/7/2014,40.5719,-121.3415,2014-07-07T16:35:00Z,45,,75,,,,,,,,
San Luis Obispo,7/5/2014,35.8218,-121.0226,2014-07-05T18:44:00Z,",40",,47,,,,,,,,
Nevada,7/7/2014,39.1871,-121.2687,2014-07-07T16:12:00Z,29,,38,,,,,,,,
Napa,7/9/2014,38.664,-122.454,2014-07-09T14:34:00Z,"28,17",,4300,,,,,,,,
Lake,7/1/2014,38.664,-122.454,2014-07-01T12:08:00Z,"28,17",,4300,,,,,,,,
El Dorado,7/1/2014,38.608336,-120.703238,2014-07-01T12:08:00Z,9,,30,,,,,,,,
Shasta,7/9/2014,40.6569,-122.2215,2014-07-09T13:45:00Z,45,,143,,,,,,,,
Yolo,7/4/2014,38.512,-122.104,2014-07-04T21:32:00Z,57,,6488,,,,,,,,
Contra Costa,7/11/2014,37.5359,-121.5118,2014-07-11T21:57:00Z,7,,80,,,,,,,,
Butte,7/14/2014,39.4664,-121.6129,2014-07-14T18:00:00Z,4,,72,,,,,,,,
Kern,7/11/2014,35.642,-118.15,2014-07-11T13:46:00Z,15,,1680,,,,,,,,
Placer,7/21/2014,0,0,2014-07-21T14:49:00Z,31,,14,,,,,,,,
Riverside,7/23/2014,0,0,2014-07-23T10:47:00Z,33,,78,,,,,,,,
Merced,7/24/2014,0,0,2014-07-24T12:06:00Z,24,,300,,,,,,,,
Shasta,7/11/2014,40.4314,-122.750788,2014-07-11T15:37:00Z,45,,12661,,,,,,,,
Madera,7/28/2014,0,0,2014-07-28T05:45:00Z,20,,13838,,,,,,,,
Butte,7/28/2014,0,0,2014-07-28T13:11:00Z,4,,389,,,,,,,,
Amador,8/1/2014,38.5691,-120.7819,2014-08-01T15:47:00Z,"3,9",,4240,,,,,,,,
El Dorado,7/29/2014,38.5691,-120.7819,2014-07-29T13:00:00Z,"3,9",,4240,,,,,,,,
Humboldt,7/25/2014,0,0,2014-07-25T16:34:00Z,12,,37,,,,,,,,
Siskiyou,7/25/2014,0,0,2014-07-25T16:34:00Z,47,,30,,,,,,,,
Siskiyou,8/2/2014,0,0,2014-08-02T09:00:00Z,47,,50042,,,,,,,,
Mariposa,7/26/2014,0,0,2014-07-26T17:00:00Z,22,,4689,,,,,,,,
Modoc,8/12/2014,41.1336,-121.2144,2014-08-12T15:00:00Z,25,,13153,,,,,,,,
Modoc,7/30/2014,41.507,-121.266,2014-07-30T19:01:00Z,25,,101,,,,,,,,
Siskiyou,8/11/2014,41.796,-123.374,2014-08-11T22:00:00Z,47,,0,,,,,,,,
Shasta,7/30/2014,40.901,-121.368,2014-07-30T20:15:00Z,45,,39736,,,,,,,,
San Diego,8/16/2014,32.59154,-116.89516,2014-08-16T16:22:00Z,37,,20,,,,,,,,
Siskiyou,7/30/2014,42.048,-122.345,2014-07-30T23:00:00Z,47,,35302,,,,,,,,
Siskiyou,7/31/2014,41.682,-122.127,2014-07-31T17:45:00Z,47,,5503,,,,,,,,
Nevada,8/18/2014,39.3918,-120.0805,2014-08-18T10:00:00Z,29,,84,,,,,,,,
Mariposa,7/17/2014,0,0,2014-07-17T01:00:00Z,22,,1080,,,,,,,,
Shasta,8/18/2014,40.72,-121.562,2014-08-18T13:50:00Z,45,,32416,,,,,,,,
Madera,7/31/2014,37.3433,-119.6581,2014-07-31T18:04:00Z,20,,612,,,,,,,,
Kern,8/18/2014,35.7206,-118.4747,2014-08-18T14:30:00Z,15,,4045,,,,,,,,
Trinity,8/24/2014,40.7412,-122.946,2014-08-24T16:36:00Z,53,,580,,,,,,,,
Shasta,8/29/2014,40,29.24,2014-08-29T12:21:00Z,45,,25,,,,,,,,
Santa Clara,8/28/2014,0,0,2014-08-28T15:10:00Z,43,,80,,,,,,,,
Napa,8/24/2014,0,0,2014-08-24T03:20:00Z,28,,6,,,,,,,,
Riverside,9/1/2014,0,0,2014-09-01T14:03:00Z,33,,100,,,,,,,,
Siskiyou,7/30/2014,0,0,2014-07-30T00:00:00Z,47,,32496,,,,,,,,
Lake,9/4/2014,0,0,2014-09-04T11:51:00Z,17,,100,,,,,,,,
Tuolumne,9/3/2014,37.8316,-120.3434,2014-09-03T16:03:00Z,55,,70,,,,,,,,
Mendocino,7/30/2014,0,0,2014-07-30T06:27:00Z,23,,12536,,,,,,,,
Mariposa,9/7/2014,0,0,2014-09-07T16:46:00Z,22,,79,,,,,,,,
Mariposa,9/5/2014,0,0,2014-09-05T12:39:00Z,22,,300,,,,,,,,
Humboldt,9/12/2014,41.134,-123.753,2014-09-12T15:00:00Z,12,,210,,,,,,,,
Napa,9/11/2014,38.695961,-122.384054,2014-09-11T15:14:00Z,28,,27,,,,,,,,
Shasta,9/10/2014,40.7101,-122.171,2014-09-10T00:30:00Z,45,,1375,,,,,,,,
Mendocino,9/13/2014,0,0,2014-09-13T15:48:00Z,23,,403,,,,,,,,
El Dorado,9/14/2014,38.59,-120.028,2014-09-14T09:15:00Z,9,,94,,,,,,,,
Nevada,9/13/2014,39.113682,-120.999508,2014-09-13T14:07:00Z,29,,247,,,,,,,,
Inyo,9/16/2014,0,0,2014-09-16T19:07:00Z,14,,65,,,,,,,,
Orange,9/14/2014,33.748,-117.601,2014-09-14T13:36:00Z,30,,968,,,,,,,,
Madera,9/12/2014,37.311915,-119.604124,2014-09-12T10:30:00Z,20,,320,,,,,,,,
Mendocino,9/21/2014,0,0,2014-09-21T16:13:00Z,23,,62,,,,,,,,
El Dorado,9/25/2014,38.9195001,-120.1140659,2014-09-25T18:00:00Z,9,,20,,,,,,,,
Ventura,9/29/2014,0,0,2014-09-29T19:35:00Z,56,,25,,,,,,,,
El Dorado,9/13/2014,38.805437,-120.629714,2014-09-13T16:32:00Z,9,,97717,,,,,,,,
Siskiyou,9/15/2014,41.42384,-122.37432,2014-09-15T13:38:00Z,47,,516,,,,,,,,
